obj: 'INIT', pid: 01
    obj: 'O052', pid: 13, owner: 'sbio', type: 'ANON', perm: rw-, vaddr: 0x0032C000, size: 0x001000, phys: 0x887E6AE000, tz0 offset: 0x5DA000
    obj: 'O053', pid: 12, owner: 'sks ', type: 'ANON', perm: rw-, vaddr: 0x0852D000, size: 0x002000, phys: 0x887E6AF000, tz0 offset: 0x5DB000

obj: 'sbio', pid: 13
    obj: 'M000', pid: 01, owner: 'INIT', type: 'TEXT', perm: r-x, vaddr: 0x00008000, size: 0x091000, phys: 0x887E2E5000, tz0 offset: 0x211000
    obj: 'M001', pid: 01, owner: 'INIT', type: 'DATA', perm: rw-, vaddr: 0x00099000, size: 0x023000, phys: 0x887E376000, tz0 offset: 0x2A2000
    obj: 'M002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x000F0000, size: 0x003000, phys: 0x887E3E3000, tz0 offset: 0x30F000
    obj: 'O009', pid: 13, owner: 'sbio', type: '_hep', perm: rw-, vaddr: 0x000F6000, size: 0x200000, phys: 0x887E445000, tz0 offset: 0x371000
    obj: 'O033', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x002F9000, size: 0x004000, phys: 0x887E661000, tz0 offset: 0x58D000
    obj: 'O043', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x00300000, size: 0x004000, phys: 0x08490A0000, tz0 offset: --------
    obj: 'O042', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x0030B000, size: 0x004000, phys: 0x0848F7C000, tz0 offset: --------
    obj: 'O048', pid: 13, owner: 'sbio', type: '_ool', perm: rw-, vaddr: 0x00312000, size: 0x001000, phys: 0x887E67C000, tz0 offset: 0x5A8000
    obj: 'O049', pid: 13, owner: 'sbio', type: 'ANON', perm: rw-, vaddr: 0x00315000, size: 0x010000, phys: 0x887E67D000, tz0 offset: 0x5A9000
    obj: 'O052', pid: 13, owner: 'sbio', type: 'ANON', perm: rw-, vaddr: 0x0032C000, size: 0x001000, phys: 0x887E6AE000, tz0 offset: 0x5DA000
